perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2841477803770,1788986002.0720184,baseline,14.437,1.206,11.966,1352520
2841487804900,1788986002.0820189,baseline,14.437,1.205,11.967,1351770
2841497805450,1788986002.0920205,baseline,14.437,1.206,11.967,1352790
2841507803100,1788986002.1020212,baseline,14.45,1.206,11.966,1355940
2841517805360,1788986002.1120222,baseline,14.437,1.207,11.967,1354900
2841527804010,1788986002.122019,baseline,14.425,1.205,11.967,1352620
2841537805090,1788986002.1320174,baseline,14.437,1.206,11.967,1350020
2841547803940,1788986002.1420228,baseline,14.437,1.206,11.967,1356780
2841557804330,1788986002.1520174,baseline,14.45,1.206,11.967,1350890
2841567805120,1788986002.1620197,baseline,14.437,1.207,11.967,1352460
2841577804120,1788986002.1720183,baseline,14.437,1.206,11.967,1351760
2841587805750,1788986002.1820207,baseline,14.425,1.206,11.966,1352900
2841597804930,1788986002.1920202,baseline,14.425,1.206,11.966,1353550
2841607805890,1788986002.2020202,baseline,14.45,1.207,11.967,1352070
2841617804930,1788986002.2120197,baseline,14.437,1.206,11.967,1352400
2841627804060,1788986002.2220254,baseline,14.437,1.205,11.967,1359350
2841637804610,1788986002.2320192,baseline,14.425,1.206,11.967,1352320
2841647805670,1788986002.2420204,baseline,14.425,1.205,11.966,1352560
2841657803910,1788986002.252018,baseline,14.437,1.206,11.967,1351720
2841667804600,1788986002.2620192,baseline,14.412,1.205,11.966,1352100
2841677804730,1788986002.272019,baseline,14.45,1.207,11.967,1352060
2841687804990,1788986002.2820194,baseline,14.425,1.205,11.966,1352230
2841697804950,1788986002.2920194,baseline,14.437,1.203,11.966,1352090
2841707805610,1788986002.3020234,baseline,14.437,1.206,11.967,1355630
2841717804470,1788986002.3120177,baseline,14.425,1.206,11.966,1351170
2841727805320,1788986002.3220227,baseline,14.437,1.206,11.966,1355190
2841737805010,1788986002.3320181,baseline,14.425,1.205,11.966,1351160
2841747804710,1788986002.3420188,baseline,14.437,1.207,11.966,1351820
2841757805140,1788986002.3520198,baseline,14.437,1.207,11.966,1352360
2841767804370,1788986002.3620234,baseline,14.437,1.205,11.966,1356740
2841777804210,1788986002.37202,baseline,14.437,1.206,11.966,1353640
2841787805020,1788986002.3820267,baseline,14.425,1.205,11.966,1359520
2841797804290,1788986002.3920195,baseline,14.45,1.207,11.966,1353250
2841807804780,1788986002.402033,baseline,14.425,1.205,11.966,1366240
2841817804680,1788986002.4120197,baseline,14.437,1.206,11.966,1352910
2841827805280,1788986002.4220238,baseline,14.425,1.206,11.966,1356350
2841837804490,1788986002.4320204,baseline,14.437,1.204,11.966,1353780
2841847804820,1788986002.4420202,baseline,14.437,1.206,11.967,1353080
2841857804580,1788986002.4520206,baseline,14.425,1.205,11.966,1354120
2841867805070,1788986002.4620252,baseline,14.437,1.207,11.966,1358190
2841877803890,1788986002.4720197,baseline,14.425,1.206,11.967,1353590
2841887804550,1788986002.4820204,baseline,14.437,1.207,11.967,1353740
2841897803980,1788986002.4920168,baseline,14.425,1.206,11.966,1350830
2841907804160,1788986002.502019,baseline,14.437,1.205,11.966,1352390
2841917805500,1788986002.5120215,baseline,14.425,1.206,11.967,1353720
2841927805330,1788986002.5220225,baseline,14.425,1.205,11.966,1354860
2841937803850,1788986002.5320206,baseline,14.45,1.207,11.967,1354420
2841947804050,1788986002.5420258,baseline,14.437,1.206,11.967,1359710
2841957804590,1788986002.5520213,baseline,14.45,1.208,11.966,1354240
2841967805260,1788986002.5620208,baseline,14.437,1.206,11.967,1353530
2841977804430,1788986002.572018,baseline,14.437,1.205,11.966,1351200
2841987805270,1788986002.582022,baseline,14.425,1.206,11.967,1354650
2841997804240,1788986002.592018,baseline,14.437,1.207,11.966,1351330
2842007804150,1788986002.6020195,baseline,14.45,1.207,11.967,1353320
2842017805760,1788986002.6120207,baseline,14.425,1.205,11.966,1352660
2842027803170,1788986002.6220279,baseline,14.45,1.208,11.967,1362410
2842037804590,1788986002.6320207,baseline,14.425,1.205,11.966,1353840
2842047805040,1788986002.6420207,baseline,14.45,1.207,11.966,1353440
2842057805220,1788986002.6520205,baseline,14.437,1.206,11.967,1353070
2842067804760,1788986002.6620204,baseline,14.437,1.206,11.966,1353420
2842077804770,1788986002.67202,baseline,14.437,1.206,11.966,1352800
2842087804580,1788986002.68202,baseline,14.425,1.206,11.966,1353030
2842097804620,1788986002.692021,baseline,14.437,1.207,11.967,1354110
2842107805040,1788986002.7020235,baseline,14.412,1.204,11.966,1356380
2842117803740,1788986002.7120168,baseline,14.437,1.207,11.967,1350900
2842127805560,1788986002.722018,baseline,14.425,1.206,11.967,1350340
2842137804840,1788986002.7320201,baseline,14.437,1.206,11.966,1353060
2842147804720,1788986002.7420204,baseline,14.45,1.207,11.966,1353570
2842157804930,1788986002.7520192,baseline,14.437,1.206,11.966,1352040
2842167804830,1788986002.7620206,baseline,14.45,1.207,11.967,1353430
2842177804170,1788986002.7720172,baseline,14.412,1.205,11.966,1350690
2842187804600,1788986002.782029,baseline,14.437,1.206,11.967,1362500
2842197803950,1788986002.7920167,baseline,14.437,1.206,11.967,1350620
2842207804360,1788986002.8020194,baseline,14.437,1.206,11.966,1352850
2842217803700,1788986002.8120177,baseline,14.437,1.206,11.966,1351950
2842227805510,1788986002.822026,baseline,14.425,1.205,11.967,1358420
2842237805330,1788986002.8320212,baseline,14.437,1.206,11.966,1353450
2842247805430,1788986002.8420227,baseline,14.425,1.206,11.966,1354810
2842257805390,1788986002.8520212,baseline,14.437,1.207,11.966,1353560
2842267805770,1788986002.8620195,baseline,14.437,1.206,11.967,1351750
2842277804480,1788986002.8720179,baseline,14.425,1.206,11.967,1351280
2842287805490,1788986002.882025,baseline,14.437,1.206,11.966,1357270
2842297804710,1788986002.8920217,baseline,14.412,1.205,11.966,1354790
2842307804140,1788986002.9020214,baseline,14.437,1.207,11.967,1355350
2842317805500,1788986002.912018,baseline,14.425,1.206,11.966,1350320
2842327804850,1788986002.9220374,baseline,14.462,1.208,11.966,1370170
2842337806850,1788986002.9320242,baseline,14.437,1.206,11.966,1355260
2842347805310,1788986002.9420204,baseline,14.437,1.206,11.966,1352840
2842357803980,1788986002.9520159,baseline,14.425,1.206,11.966,1349670
2842367805280,1788986002.9620242,baseline,14.437,1.205,11.967,1356820
2842377804410,1788986002.972017,baseline,14.437,1.207,11.967,1350770
2842387804990,1788986002.9820209,baseline,14.425,1.205,11.967,1353910
2842397804730,1788986002.9920192,baseline,14.45,1.207,11.966,1352420
2842407804460,1788986003.002025,baseline,14.425,1.205,11.967,1358640
2842417805090,1788986003.0120196,baseline,14.425,1.206,11.967,1352370
2842427805170,1788986003.0220232,baseline,14.45,1.207,11.967,1355840
2842437804530,1788986003.032019,baseline,14.412,1.205,11.966,1352230
2842447804600,1788986003.0420275,baseline,14.462,1.208,11.967,1360810
2842457804490,1788986003.0520182,baseline,14.425,1.206,11.966,1351470
2842467805370,1788986003.0620215,baseline,14.45,1.207,11.967,1353610
2842477804770,1788986003.0720217,baseline,14.425,1.205,11.967,1354660
2842487804020,1788986003.082025,baseline,14.425,1.206,11.966,1358630
2842497804680,1788986003.092021,baseline,14.437,1.207,11.967,1354360
2842507805320,1788986003.1020195,baseline,14.425,1.205,11.967,1351890
2842517804050,1788986003.1120172,baseline,14.45,1.207,11.966,1351000
2842527804550,1788986003.1220245,baseline,14.425,1.205,11.967,1357660
2842537805330,1788986003.1320224,baseline,14.45,1.207,11.967,1354780
2842547804560,1788986003.1420245,baseline,14.425,1.205,11.966,1357650
2842557804600,1788986003.152019,baseline,14.437,1.206,11.966,1352080
2842567805050,1788986003.1620207,baseline,14.437,1.207,11.967,1353180
2842577805560,1788986003.17202,baseline,14.425,1.205,11.966,1352220
2842587805670,1788986003.1820211,baseline,14.45,1.207,11.967,1353110
2842597804780,1788986003.1920197,baseline,14.437,1.205,11.966,1352620
2842607805100,1788986003.2020235,baseline,14.45,1.207,11.966,1356340
2842617804560,1788986003.2120183,baseline,14.425,1.205,11.966,1351440
2842627804770,1788986003.2220206,baseline,14.437,1.206,11.966,1353680
2842637804480,1788986003.2320185,baseline,14.437,1.206,11.966,1351850
2842647805310,1788986003.2420247,baseline,14.425,1.206,11.966,1357220
2842657804640,1788986003.2520196,baseline,14.45,1.207,11.966,1353140
2842667804040,1788986003.2620206,baseline,14.412,1.204,11.966,1354530
2842677804950,1788986003.2720191,baseline,14.45,1.208,11.967,1352150
2842687804900,1788986003.2820268,baseline,14.425,1.206,11.967,1359520
2842697804460,1788986003.2920177,baseline,14.437,1.206,11.967,1351330
2842707804670,1788986003.3020217,baseline,14.437,1.206,11.966,1354790
2842717805350,1788986003.3120184,baseline,14.437,1.207,11.966,1350940
2842727804330,1788986003.3220255,baseline,14.437,1.207,11.967,1358940
2842737804790,1788986003.3320186,baseline,14.425,1.205,11.967,1351520
2842747804830,1788986003.3420227,baseline,14.45,1.207,11.966,1355670
2842757805130,1788986003.352022,baseline,14.425,1.205,11.967,1354620
2842767804760,1788986003.362022,baseline,14.437,1.207,11.967,1354970
2842777805320,1788986003.3720207,baseline,14.425,1.206,11.967,1353220
2842787804530,1788986003.3820171,baseline,14.425,1.206,11.966,1350280
2842797804360,1788986003.3920197,baseline,14.437,1.206,11.967,1353220
2842807804970,1788986003.4020252,baseline,14.425,1.205,11.966,1358070
2842817805360,1788986003.4120266,baseline,14.437,1.207,11.966,1359080
2842827806070,1788986003.4220223,baseline,14.437,1.206,11.967,1354070
2842837804830,1788986003.432019,baseline,14.437,1.206,11.966,1351900
2842847806790,1788986003.44204,baseline,14.425,1.206,11.966,1371380
2842857805970,1788986003.4520218,baseline,14.437,1.206,11.967,1353710
2842867805120,1788986003.4620206,baseline,14.425,1.205,11.966,1353330
2842877804800,1788986003.4720197,baseline,14.425,1.205,11.967,1352640
2842887805920,1788986003.4820254,baseline,14.437,1.207,11.966,1357240
2842897803950,1788986003.4920166,baseline,14.425,1.205,11.967,1350510
2842907804810,1788986003.5020208,baseline,14.437,1.207,11.967,1353970
2842917805080,1788986003.5120206,baseline,14.425,1.205,11.966,1353130
2842927804310,1788986003.5220234,baseline,14.425,1.205,11.966,1356990
2842937805560,1788986003.5320191,baseline,14.437,1.206,11.966,1351400
2842947805120,1788986003.542019,baseline,14.425,1.206,11.967,1351410
2842957805320,1788986003.5520208,baseline,14.437,1.206,11.966,1353780
2842967805310,1788986003.562027,baseline,14.412,1.205,11.967,1359870
