received_perf_counter_ns,seconds_since_first_sample,timestamp_local,system_cpu_percent,process_cpu_percent,process_rss_mib,process_vms_mib,process_threads,system_memory_percent,load1,load5,load15,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,package_temperature_c,core_temperature_mean_c,core_temperature_max_c,fan_rpm
89747211977671,9.203311003,2026-09-01T15:00:45.377725-03:00,4.2,110.0,721.8125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1637.57925,800.0,5100.0,73.0,54.125,72.0,932.0
89747312150796,9.303484128,2026-09-01T15:00:45.477898-03:00,5.4,119.8,721.8359375,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1634.6948333333332,800.0,5100.163,75.0,54.6875,72.0,932.0
89747412118672,9.403452004,2026-09-01T15:00:45.577866-03:00,4.6,110.0,721.8515625,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1458.180625,800.0,5100.0,75.0,55.375,75.0,932.0
89747511336881,9.502670213,2026-09-01T15:00:45.677085-03:00,4.6,100.8,721.8828125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1718.295625,800.0,5100.0,75.0,55.375,75.0,932.0
89747610110264,9.601443596,2026-09-01T15:00:45.775858-03:00,5.5,111.5,721.89453125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,2077.1150000000002,800.0,5100.054,75.0,55.375,75.0,932.0
89747710456954,9.701790286,2026-09-01T15:00:45.876205-03:00,4.6,119.6,721.91796875,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1871.6649583333335,800.0,5100.0,75.0,55.375,75.0,932.0
89747810307206,9.801640538,2026-09-01T15:00:45.976055-03:00,4.6,109.9,721.9375,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1686.9175833333331,800.0,5101.439,75.0,55.375,75.0,932.0
89747910240584,9.901573916,2026-09-01T15:00:46.075988-03:00,5.0,110.3,721.95703125,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1864.0677083333333,799.283,5100.0,75.0,55.375,75.0,932.0
89748010021625,10.001354957,2026-09-01T15:00:46.175769-03:00,4.6,110.2,721.98046875,9757.23828125,107,27.3,0.30419921875,0.1767578125,0.1689453125,1775.688375,800.0,5100.0,75.0,55.375,75.0,932.0
89748110524910,10.101858242,2026-09-01T15:00:46.276273-03:00,4.6,109.4,722.00390625,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1879.4423749999999,799.664,5100.0,75.0,55.375,75.0,932.0
89748209927641,10.201260973,2026-09-01T15:00:46.375675-03:00,5.0,110.8,722.02734375,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1845.7543333333333,800.0,5100.713,75.0,55.75,75.0,932.0
89748310133809,10.301467141,2026-09-01T15:00:46.475881-03:00,4.6,119.6,722.046875,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1566.1313333333335,800.0,5100.0,75.0,55.8125,75.0,932.0
89748410197970,10.401531302,2026-09-01T15:00:46.575946-03:00,5.0,110.1,722.06640625,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1604.4703749999999,800.0,5100.425,72.0,56.0,75.0,932.0
89748510802891,10.502136223,2026-09-01T15:00:46.676551-03:00,4.6,99.3,722.08984375,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1740.0362916666666,800.0,5100.0,72.0,56.0,75.0,932.0
89748610174074,10.601507406,2026-09-01T15:00:46.775922-03:00,5.0,110.8,722.109375,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1477.87025,800.0,5101.199,72.0,56.0,75.0,932.0
89748711194372,10.702527704,2026-09-01T15:00:46.876942-03:00,5.0,108.9,722.12890625,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1893.4088333333332,800.0,5100.0,72.0,56.0,75.0,932.0
89748809111991,10.800445323,2026-09-01T15:00:46.974860-03:00,5.5,122.3,722.1484375,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1759.2709583333333,800.0,5101.348,72.0,56.0,75.0,932.0
89748910288664,10.901621996,2026-09-01T15:00:47.076036-03:00,4.9,108.9,722.17578125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1683.3932083333332,800.0,5100.054,72.0,56.0,75.0,932.0
89749009169431,11.000502763,2026-09-01T15:00:47.174917-03:00,4.7,121.5,722.19140625,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1620.6870416666668,799.827,5100.0,72.0,56.0,75.0,932.0
89749110639908,11.10197324,2026-09-01T15:00:47.276388-03:00,4.9,98.4,722.2109375,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1613.4565833333334,800.0,5101.382,72.0,56.0,75.0,932.0
89749210024546,11.201357878,2026-09-01T15:00:47.375772-03:00,4.6,120.9,722.23828125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1647.9532499999998,800.0,5100.976,72.0,56.0,75.0,932.0
89749310282299,11.301615631,2026-09-01T15:00:47.476030-03:00,5.0,99.7,722.2578125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1493.7532916666667,800.0,5100.0,72.0,55.75,75.0,932.0
89749409824407,11.401157739,2026-09-01T15:00:47.575572-03:00,4.2,120.6,722.28125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1447.7539583333335,800.0,5100.0,72.0,55.875,75.0,932.0
89749510172194,11.501505526,2026-09-01T15:00:47.675920-03:00,4.6,99.6,722.30078125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1521.0974583333334,800.0,5100.0,73.0,55.875,75.0,932.0
89749610251174,11.601584506,2026-09-01T15:00:47.775999-03:00,5.0,119.9,722.3203125,9757.23828125,107,27.3,0.3603515625,0.1904296875,0.173828125,1826.4956666666667,800.0,5100.0,73.0,55.375,75.0,932.0
