passage,samples,accelerator_mean_ms,device_call_mean_ms,application_e2e_mean_ms,passage_duration_ms,passage_throughput_inf_s
2885,30,0.17701166666666668,0.4836646666666667,0.6866386666666666,21.44314,1399.048833333178
2886,30,0.17600866666666667,0.48189933333333346,0.6845496666666667,21.36152,1404.3944438410751
2887,30,0.18274266666666666,0.4992586666666667,0.7053036666666668,22.02175,1362.2895546448399
2888,30,0.176864,0.4835633333333333,0.6868540000000001,21.43172,1399.794323554059
2889,30,0.17679733333333336,0.48262,0.6856749999999999,21.41272,1401.036393321353
2890,30,0.1770856666666667,0.483385,0.6871033333333334,21.42615,1400.1582178786202
2891,30,0.18265866666666664,0.4975036666666667,0.7029036666666669,21.92737,1368.1531346440543
2892,30,0.17972299999999997,0.4902066666666666,0.6943736666666667,21.65707,1385.2289344772862
2893,30,0.17661799999999997,0.48371400000000003,0.688721,21.47212,1397.1605970905528
2894,30,0.17617333333333332,0.48373533333333335,0.6870156666666668,21.42204,1400.4268501039116
2895,30,0.17633333333333334,0.4840716666666667,0.6873793333333332,21.4444,1398.9666299826529
2896,30,0.1816786666666667,0.4954766666666667,0.7019916666666667,21.88564,1370.7618328730618
2897,30,0.17695833333333333,0.4829506666666667,0.6878646666666666,21.48481,1396.335364380695
2898,30,0.17607499999999998,0.483702,0.6866900000000001,21.4232,1400.3510213226782
2899,30,0.17680033333333334,0.4845613333333334,0.6878443333333333,21.44511,1398.9203133021933
2900,30,0.17822433333333337,0.48588733333333334,0.6899716666666666,21.52935,1393.4466205435835
2901,30,0.18048766666666663,0.49304200000000004,0.6982566666666667,21.76931,1378.0868571397073
2902,30,0.1771866666666667,0.4836936666666666,0.6865683333333334,21.42968,1399.9275770800125
2903,30,0.17631433333333335,0.48316366666666666,0.68665,21.41095,1401.1522141707862
2904,30,0.17606666666666668,0.48245666666666664,0.6856336666666666,21.38034,1403.1582285407997
2905,30,0.181822,0.49629933333333326,0.7022686666666668,21.89166,1370.384886299166
2906,30,0.17610000000000003,0.483156,0.6864616666666666,21.40812,1401.3374364493473
