perf_counter_ns,unix_s,phase,board_input_power_w,board_input_current_a,board_input_voltage_v,read_duration_ns
2454611582620,1788985615.210382,benchmark,14.812,1.239,11.96,5938670
2454621525280,1788985615.2189598,benchmark,14.812,1.238,11.961,4573360
2454631702550,1788985615.2301297,benchmark,14.825,1.238,11.96,5565850
2454641500400,1788985615.2394576,benchmark,14.812,1.238,11.96,5095720
2454651876910,1788985615.25028,benchmark,14.825,1.238,11.96,5541990
2454661603700,1788985615.259991,benchmark,14.825,1.239,11.96,5526240
2454671859520,1788985615.2697136,benchmark,14.825,1.238,11.96,4993380
2454681683900,1788985615.278911,benchmark,14.812,1.238,11.961,4366560
2454691618130,1788985615.2888827,benchmark,14.812,1.238,11.96,4404200
2454701616710,1788985615.299413,benchmark,14.812,1.238,11.96,4935260
2454711811390,1788985615.3098428,benchmark,14.8,1.238,11.96,5170540
2454721700770,1788985615.3191583,benchmark,14.812,1.238,11.961,4596400
2454731532180,1788985615.330347,benchmark,14.8,1.237,11.96,5953930
2454741677180,1788985615.3394752,benchmark,14.825,1.239,11.961,4937130
2454751496340,1788985615.349706,benchmark,14.812,1.238,11.961,5348420
2454761544130,1788985615.3585954,benchmark,14.812,1.239,11.96,4190040
2454771509610,1788985615.3699038,benchmark,14.812,1.238,11.961,5533890
2454781715410,1788985615.3787565,benchmark,14.812,1.238,11.96,4180450
2454792035640,1788985615.3904698,benchmark,14.75,1.233,11.96,5573540
2454801614870,1788985615.3980756,benchmark,14.825,1.239,11.96,3599950
2454811493240,1788985615.4092274,benchmark,14.825,1.239,11.961,4873340
2454821603520,1788985615.4188209,benchmark,14.812,1.239,11.96,4356660
2454831543960,1788985615.4290016,benchmark,14.825,1.239,11.96,4596590
2454841825640,1788985615.4410925,benchmark,14.8,1.238,11.961,6406250
2454851711250,1788985615.449158,benchmark,14.812,1.239,11.96,4586590
2454861539500,1788985615.4587576,benchmark,14.8,1.237,11.96,4357460
2454871547230,1788985615.468597,benchmark,14.825,1.239,11.96,4189190
2454881902840,1788985615.4806674,benchmark,14.825,1.238,11.961,5903670
2454891496940,1788985615.4896755,benchmark,14.825,1.24,11.96,5317120
2454901532130,1788985615.4999437,benchmark,14.825,1.239,11.96,5550760
2454912032250,1788985615.5102437,benchmark,14.8,1.238,11.961,5350300
2454921769840,1788985615.5207565,benchmark,14.812,1.238,11.961,6125770
2454931743720,1788985615.5293744,benchmark,14.812,1.239,11.96,4770030
2454941760870,1788985615.5399728,benchmark,14.825,1.238,11.961,5350940
2454951659000,1788985615.54988,benchmark,14.825,1.239,11.961,5359990
2454961604940,1788985615.559788,benchmark,14.812,1.238,11.961,5322020
2454971494620,1788985615.56992,benchmark,14.812,1.238,11.96,5564410
2454981608680,1788985615.57983,benchmark,14.812,1.238,11.96,5360580
2454991756300,1788985615.5891478,benchmark,14.812,1.236,11.961,4531040
2455001529930,1788985615.599568,benchmark,14.812,1.238,11.96,5176950
2455011611080,1788985615.6098337,benchmark,14.812,1.238,11.96,5361670
2455021708980,1788985615.6187658,benchmark,14.825,1.239,11.96,4195710
2455032102070,1788985615.629558,benchmark,14.825,1.239,11.96,4594480
2455041597700,1788985615.6394083,benchmark,14.812,1.238,11.961,4949780
