epoch_s,monotonic_s,system_percent,process_percent,frequency_mhz,package_temp_c,rss_mib
1788467036.813005,100356.987872257,11.7,280.8,2.413833333333334,67.0,795.3984375
1788467036.9568968,100357.131764034,10.8,291.9,3.5664166666666652,67.0,795.3984375
1788467037.094518,100357.269384992,11.8,283.4,3.093666666666666,67.0,795.3984375
1788467037.2298076,100357.404674541,13.7,302.6,3.5666249999999997,67.0,795.3984375
1788467037.3687067,100357.543573887,11.4,288.4,3.5774583333333325,67.0,795.3984375
1788467037.5053253,100357.680192379,12.4,285.4,2.8818749999999995,69.0,795.3984375
1788467037.9124374,100358.087304749,11.1,282.5,2.7062500000000003,69.0,795.3984375
1788467038.047028,100358.221895096,11.8,297.2,3.5663749999999985,69.0,795.3984375
1788467038.1803384,100358.355205432,14.8,292.0,2.5848333333333327,69.0,795.3984375
1788467038.3183775,100358.493244393,12.9,289.9,3.566124999999998,69.0,795.3984375
1788467038.4545395,100358.62940672,13.0,286.7,2.6052083333333336,69.0,795.3984375
1788467038.5933828,100358.768250142,10.9,295.3,2.27325,69.0,795.3984375
1788467038.7359548,100358.910821866,11.1,287.0,3.295625,69.0,795.3984375
1788467038.8763742,100359.051241333,11.7,299.7,3.566208333333332,71.0,795.3984375
1788467039.0558972,100359.230764531,14.2,289.2,3.1690416666666663,71.0,795.3984375
1788467039.1926348,100359.367501871,11.9,285.8,3.053833333333333,71.0,795.41015625
1788467039.3405306,100359.515397816,10.9,290.4,3.311541666666667,71.0,795.41015625
1788467039.4830797,100359.657946855,11.9,294.0,2.1455833333333336,71.0,795.41015625
1788467039.6342838,100359.809150677,11.7,304.4,2.296541666666667,71.0,795.41015625
1788467039.771435,100359.946302208,13.3,299.7,2.322583333333333,71.0,795.4140625
1788467039.9214997,100360.096366821,12.5,299.3,2.6453750000000005,69.0,795.4140625
1788467040.11275,100360.287617241,13.5,293.0,3.5665416666666654,69.0,795.4140625
1788467040.2584844,100360.433351664,11.6,294.9,2.1560416666666673,69.0,795.4140625
1788467040.3989534,100360.573820766,12.7,299.6,3.154874999999999,69.0,795.4140625
1788467040.5352716,100360.710138684,12.1,293.2,3.0387500000000003,69.0,795.4140625
1788467040.672162,100360.847028887,12.9,285.1,3.5679166666666657,69.0,795.4140625
1788467040.8086405,100360.983507787,11.0,278.4,2.155416666666667,69.0,795.4140625
1788467040.9588716,100361.133738733,11.6,286.2,2.891291666666667,69.0,795.4140625
1788467041.097127,100361.271993956,13.1,303.8,3.5665416666666654,69.0,795.4140625
1788467041.2794204,100361.454287682,12.0,285.2,2.099583333333334,69.0,795.4140625
1788467041.4173315,100361.59219861,10.4,290.1,3.5666249999999984,69.0,795.4140625
1788467041.5513678,100361.726234973,11.5,283.5,3.183375,69.0,795.4140625
1788467041.6865544,100361.86142144,12.0,288.2,3.505583333333334,69.0,795.4140625
1788467041.8201182,100361.994985394,11.3,292.3,3.598875000000001,69.0,795.4140625
1788467041.9573576,100362.132224587,13.2,298.8,3.604625,69.0,795.4140625
1788467042.0928051,100362.267672336,13.6,287.9,3.3297083333333326,69.0,795.4140625
1788467042.22633,100362.401197042,9.8,292.1,3.5396249999999996,70.0,795.4140625
1788467042.407958,100362.582825125,11.2,291.8,3.566624999999999,70.0,795.4140625
1788467042.546224,100362.721091203,13.6,296.5,2.9979999999999993,70.0,795.4140625
