cycle,inferences,correct_unique,latency_mean_ms,latency_median_ms,latency_std_sample_ms,latency_p95_ms,latency_min_ms,latency_max_ms,cycle_duration_s,throughput_fps
150,30,29,0.16696366666666665,0.1627395,0.015506763112586874,0.1973082499999999,0.154344,0.223321,0.007113754,4217.182657707871
151,30,29,0.16577526666666664,0.162514,0.011887159621098358,0.18556959999999997,0.15253,0.211704,0.006943357,4320.676583387546
152,30,29,0.16485326666666664,0.16193249999999998,0.013132775053890626,0.17907234999999996,0.15401,0.224413,0.007286487,4117.210392333095
153,30,29,0.17248913333333338,0.16349,0.031790376885676166,0.22703415,0.152,0.311892,0.007750715,3870.6106468887065
154,30,29,0.16617080000000004,0.162268,0.015244460636459125,0.19803024999999994,0.150275,0.216389,0.007631526,3931.0617561939775
155,30,29,0.16799606666666664,0.1590085,0.025465833341724864,0.22517835,0.150476,0.263525,0.007887495,3803.4889404050336
156,30,29,0.1608576,0.1585915,0.012271428207355325,0.17252424999999996,0.151098,0.218483,0.007536761,3980.4897621139903
157,30,29,0.17011986666666667,0.162446,0.028181523446661163,0.20224674999999992,0.153854,0.304561,0.007401152,4053.42303468433
158,30,29,0.16482180000000002,0.1602535,0.017929364610546887,0.2076282999999999,0.150803,0.227447,0.007495846,4002.216694419816
159,30,29,0.16339363333333334,0.1615075,0.009737072481813614,0.17563605,0.153385,0.203195,0.007435766,4034.554072841991
160,30,29,0.16155273333333334,0.1598625,0.007968807356503071,0.17542369999999996,0.152324,0.18542,0.006996716,4287.72584166629
161,30,29,0.1681187,0.161213,0.02010332639682402,0.21079144999999996,0.152889,0.244481,0.007844027,3824.5661316566097
162,30,29,0.16452246666666667,0.16202149999999998,0.013203972081924052,0.18049429999999997,0.151283,0.219711,0.00751568,3991.654780405765
163,30,29,0.1964028666666667,0.16441450000000002,0.0688595710247003,0.32641339999999996,0.152203,0.416112,0.008470442,3541.7278106620647
164,30,29,0.1663072,0.161262,0.014061622711087279,0.18091255,0.154653,0.22811,0.007199727,4166.824658768312
165,30,29,0.16576163333333332,0.1635785,0.011804746010743349,0.1836515,0.152347,0.212103,0.007302114,4108.399293683993
166,30,29,0.1780548666666667,0.16226200000000002,0.039032490083513,0.2560601999999999,0.154772,0.329791,0.007875187,3809.4333505985314
167,30,29,0.1907392333333333,0.163095,0.057378589570941656,0.3097912,0.151367,0.322601,0.007977713,3760.4762166801434
168,30,29,0.16652729999999996,0.1616985,0.02375719217873276,0.18185679999999996,0.152662,0.285639,0.00749695,4001.627328446902
169,30,29,0.1617323333333333,0.15724149999999998,0.0119236686044399,0.179611,0.150077,0.208898,0.006799584,4412.034618588431
170,30,29,0.17487850000000002,0.1632745,0.033809534912761535,0.22995674999999993,0.152152,0.312963,0.008029543,3736.2026705629446
171,30,29,0.20810773333333332,0.16674,0.06359161553003305,0.31660279999999996,0.153343,0.333537,0.009277794,3233.5272802996055
172,30,29,0.25375366666666666,0.24577549999999998,0.03361648096347707,0.32026905,0.164151,0.367959,0.010604006,2829.119485598179
173,30,29,0.1670162666666667,0.16247,0.016256831279089463,0.19731439999999997,0.151344,0.231377,0.008036005,3733.1982745157575
174,30,29,0.16433743333333334,0.16152149999999998,0.012662563611668067,0.18353285,0.154329,0.217157,0.007301147,4108.943430395251
175,30,29,0.2028947,0.168584,0.06718724359022123,0.34088834999999984,0.152271,0.402007,0.009000193,3333.2618533846994
176,30,29,0.16370986666666668,0.158979,0.01648935795310864,0.1957485999999999,0.151165,0.230697,0.007916193,3789.7004279708694
177,30,29,0.17292886666666665,0.16047050000000002,0.05063282972248091,0.20845299999999992,0.154027,0.431321,0.008048117,3727.580004117733
178,30,29,0.18166533333333337,0.1616435,0.05870480908593514,0.32051514999999997,0.151937,0.398942,0.00806867,3718.0848888354585
179,30,29,0.1714522,0.163117,0.031150351193459467,0.2265819999999999,0.15009,0.303264,0.007367411,4071.986753555625
180,30,29,0.17279773333333334,0.1603995,0.03537319066062098,0.2621649999999999,0.149669,0.281302,0.007494952,4002.6940799620866
181,30,29,0.16261830000000002,0.15992499999999998,0.011512786607013121,0.17805994999999997,0.152426,0.20971,0.007698168,3897.0310858375656
182,30,29,0.16932383333333334,0.16400199999999998,0.024746495048353023,0.19867589999999993,0.15326,0.286226,0.007960306,3768.6993439699427
183,30,29,0.1912763,0.164991,0.06333252627594373,0.3078499,0.151598,0.408282,0.008474126,3540.188097273984
184,30,29,0.16698980000000005,0.1604505,0.021216725979023382,0.1995915499999999,0.152597,0.26062,0.008087754,3709.311633365703
185,30,29,0.16341466666666668,0.160657,0.011986122229142922,0.17934314999999998,0.150739,0.21335,0.00794083,3777.9426080145277
186,30,29,0.19771249999999999,0.1648965,0.06559101801143097,0.3266537,0.154548,0.361125,0.008632142,3475.383050927568
187,30,29,0.1699465,0.164327,0.01794328785031635,0.21053219999999995,0.154236,0.222897,0.007899348,3797.7817916111553
188,30,29,0.17065430000000006,0.16185349999999998,0.0305989403751063,0.2165658,0.154127,0.310778,0.007773251,3859.3890767196376
189,30,29,0.1653802,0.16219650000000002,0.013706103152019287,0.19412589999999996,0.152712,0.21688,0.007561844,3967.286286255046
190,30,29,0.19150266666666668,0.167933,0.05107904103839751,0.2730971,0.151995,0.382816,0.008642674,3471.147934076884
191,30,29,0.19577916666666664,0.1690665,0.05783274453353922,0.31471695,0.151856,0.328065,0.008620602,3480.0353849997946
192,30,29,0.1644327,0.1586165,0.01769975157852164,0.20161504999999993,0.151833,0.231396,0.007850953,3821.192153360235
193,30,29,0.16849873333333334,0.15953050000000002,0.021587297254497217,0.20964344999999995,0.153102,0.249902,0.007827573,3832.6055854094234
194,30,29,0.17176069999999996,0.16405550000000002,0.028851921709916864,0.21737425,0.153109,0.302654,0.008248784,3636.899693336618
195,30,29,0.2094368666666667,0.19112200000000001,0.0588448506561129,0.32964495,0.162187,0.435651,0.009326335,3216.6976631227594
196,30,29,0.1812644,0.164493,0.04129797490534806,0.28682915,0.151332,0.296915,0.008894404,3372.9072796783234
197,30,29,0.16785776666666669,0.166082,0.013468116325510083,0.19233229999999998,0.150229,0.194364,0.007889463,3802.5401728862917
198,30,29,0.20718323333333333,0.2003835,0.04878722371169938,0.28252574999999996,0.157855,0.377326,0.009028573,3322.784231793884
199,30,29,0.15933466666666668,0.152659,0.01853646017491182,0.2006298499999999,0.145318,0.221288,0.007719865,3886.0783187270763
200,30,29,0.16659279999999999,0.152325,0.04750797138586324,0.23032609999999992,0.143237,0.392316,0.007947842,3774.609510355138
201,30,29,0.17925690000000002,0.16295300000000001,0.0348026403956208,0.24469804999999997,0.148293,0.257736,0.0083903,3575.5574890051607
202,30,29,0.18286033333333332,0.15781,0.06166299749351354,0.31812249999999986,0.144085,0.398146,0.008522262,3520.1921743311814
203,30,29,0.1877726333333333,0.1589005,0.04706511430544982,0.2597385499999999,0.14374,0.308527,0.008581636,3495.8369243347074
204,30,29,0.1625336,0.15237250000000002,0.031835367243972866,0.21972709999999976,0.146354,0.292693,0.007861373,3816.127284635903
205,30,29,0.16803246666666669,0.15877750000000002,0.028622931123830422,0.23134914999999998,0.144331,0.263752,0.008117703,3695.6267062246548
206,30,29,0.20986373333333336,0.1668735,0.09651515244837637,0.43479059999999986,0.14611,0.475356,0.009492551,3160.3728017895296
207,30,29,0.15794576666666668,0.153198,0.020551308743766393,0.18332309999999993,0.143309,0.253416,0.007738178,3876.8816121831264
208,30,29,0.1595413,0.1532425,0.027045077318853403,0.18066035,0.14365,0.293717,0.007927508,3784.291356123513
209,30,29,0.16885619999999998,0.1575065,0.03183765642193815,0.2464814,0.146355,0.266795,0.008069381,3717.757285224232
210,30,29,0.17427716666666665,0.15313,0.05715735248030188,0.29772114999999977,0.144796,0.399374,0.008471407,3541.3243632374174
211,30,29,0.1567992666666667,0.1532925,0.01344003712005684,0.1720013,0.145995,0.216742,0.007622465,3935.7346999953425
